symbol f_open f_min f_max f_close volume
AALR3 14.62 14.4 14.88 14.6 35900
ABCB2 2.85 2.85 2.85 2.85 200
ABCB4 13.4 13.08 13.52 13.31 195800
ABCP11 11.83 11.01 11.83 11.36 1210
ABEV3 16.34 16.26 16.66 16.31 4265400
ADHM3 0.81 0.76 0.83 0.79 68600
AEFI11 135.0 134.6 137.0 134.6 260
AFLT3 3.18 3.18 3.18 3.18 100
AGCX11 1221.98 1220.0 1240.0 1230.0 277
AGRO3 11.04 10.92 11.08 10.95 33100
ALMI11B 1849.5 1750.0 1849.5 1799.0 52
ALPA3 8.94 8.72 9.2 8.72 1800
ALPA4 10.01 9.84 10.05 9.84 117800
ALSC3 14.41 14.31 14.74 14.69 441800
ALUP11 16.89 16.81 17.42 17.17 658400
AMAR3 5.96 5.9 6.38 6.38 35300
ANIM3 13.56 13.25 13.7 13.25 23400
ARZZ3 25.06 24.41 25.06 25.05 60200
ATOM3 3.05 2.94 3.05 3.05 3500
AZEV4 1.02 1.01 1.05 1.05 1400
BAUH4 9.47 9.47 9.47 9.47 100
BAZA3 29.99 29.99 29.99 29.99 100
BBAS3 27.9 27.44 27.96 27.54 1968200
BBDC3 28.82 28.64 29.28 28.82 551400
BBDC4 28.77 28.5 28.8 28.8 2690000
BBFI11B 2496.99 2410.03 2496.99 2420.0 60
BBPO11 124.13 120.0 124.66 124.2 6080
BBRC11 118.5 118.0 123.83 118.61 379
BBRK3 1.57 1.55 1.58 1.58 13300
BBSD11 41.3 41.3 41.3 41.3 100
BBSE3 27.85 27.81 28.61 27.82 1035100
BBTG11 14.67 14.49 15.2 15.1 892100
BBVJ11 53.5 49.02 53.51 51.8 3275
BCFF11B 69.3 68.99 69.49 69.01 1638
BCIA11 129.0 129.0 129.0 129.0 20
BCRI11 116.0 115.49 116.0 115.49 83
BEEF3 12.15 11.58 12.25 11.9 616600
BEES3 2.68 2.57 2.68 2.65 7300
BEES4 2.65 2.65 2.65 2.65 400
BGIP4 14.25 14.0 14.5 14.3 1700
BMEB4 4.19 4.11 4.19 4.19 6700
BMKS3 287.99 276.99 287.99 276.99 30
BMLC11B 86.99 86.99 86.99 86.99 50
BNFS11 120.0 120.0 124.0 124.0 49
BOBR4 2.0 2.0 2.05 2.01 13000
BOVA11 57.99 57.5 58.04 57.63 828980
BOVV11 59.66 59.66 59.66 59.66 48500
BPAN4 1.3 1.28 1.3 1.29 4800
BPFF11 80.04 80.04 80.5 80.5 1138
BPHA3 4.48 4.48 4.86 4.6 98400
BRAP3 12.58 12.08 12.58 12.3 2700
BRAP4 14.7 14.41 14.7 14.5 352500
BRAX11 48.53 48.33 48.66 48.5 280
BRCR11 95.5 95.32 96.83 96.75 9707
BRFS3 48.03 47.64 48.15 47.9 600200
BRIN3 20.11 19.95 20.16 20.14 1900
BRIV4 5.6 5.45 5.6 5.51 4000
BRKM3 30.0 29.21 30.0 29.23 1700
BRKM5 34.04 33.33 34.1 34.0 486500
BRKM6 50.0 50.0 50.0 50.0 100
BRML3 11.84 11.72 12.08 12.08 1876000
BRPR3 7.51 7.47 7.65 7.47 138100
BRSR6 10.31 10.21 10.72 10.67 281400
BSEV3 7.5 7.39 7.55 7.47 7400
BTOW3 10.2 10.06 10.32 10.2 196100
BTTL3 9.96 9.9 9.96 9.9 2500
BVMF3 16.26 16.15 16.35 16.28 2806500
CARD3 4.94 4.87 4.97 4.91 145300
CCPR3 9.99 9.3 9.99 9.9 500
CCRO3 15.96 15.48 15.97 15.79 1892700
CCXC3 1.46 1.46 1.5 1.47 64800
CEDO4 2.85 2.85 2.85 2.85 2000
CELP3 2.29 2.29 2.29 2.29 200
CELP5 2.4 2.4 2.4 2.4 900
CELP7 2.29 2.29 2.35 2.35 2900
CEOC11B 67.54 67.54 67.67 67.67 14
CESP6 13.4 13.2 13.46 13.35 432900
CGAS3 41.9 40.6 42.0 41.3 3600
CGAS5 46.17 45.35 46.7 46.7 20600
CGRA3 17.5 17.0 17.94 17.0 900
CGRA4 16.6 16.34 16.6 16.59 4400
CIEL3 27.85 27.17 27.94 27.25 1859300
CLSC4 15.63 15.57 15.74 15.74 4100
CMIG3 7.82 7.79 8.09 8.09 43600
CMIG4 7.69 7.57 7.8 7.72 1766300
CNES11B 97.0 96.0 97.0 96.9 169
COCE5 49.95 48.53 49.95 48.79 9900
CPFE3 25.23 25.14 25.3 25.26 411000
CPLE3 19.13 19.02 19.25 19.1 9700
CPLE6 27.38 27.06 27.49 27.2 102700
CPRE3 11.69 11.69 11.69 11.69 100
CPTS11B 100.6 100.0 100.6 100.0 422
CRDE3 1.42 1.42 1.42 1.42 4500
CREM3 8.6 8.6 8.6 8.6 100
CRPG5 5.9 5.85 5.9 5.85 1600
CRPG6 5.85 5.85 5.85 5.85 700
CSAB4 49.0 49.0 49.0 49.0 100
CSAN3 37.62 36.97 37.86 37.15 520200
CSMG3 36.1 35.73 36.9 36.8 270200
CSNA3 10.7 10.61 10.94 10.86 1127100
CTAX1 0.39 0.39 0.7 0.6 51300
CTAX3 9.6 9.45 10.2 10.0 24800
CTIP3 44.19 44.19 44.64 44.4 323100
CTKA4 1.85 1.8 1.85 1.85 1000
CTXT11 3.75 3.69 3.75 3.69 3124
CVCB3 23.65 23.01 23.65 23.02 236900
CXRI11 1023.99 1023.99 1029.7 1029.7 5
CXTL11 533.0 525.39 533.0 525.39 12
CYRE3 10.15 10.08 10.46 10.28 1133200
CZLT33 24.99 24.79 24.99 24.79 7500
DAGB33 409.0 400.99 410.99 410.69 1217
DASA3 17.19 16.7 17.2 17.2 1800
DIRR3 4.56 4.43 4.65 4.61 224000
DIVO11 32.92 32.5 32.92 32.65 6000
DOMC11 482.0 482.0 482.0 482.0 73
DRIT11B 107.99 107.99 108.0 107.99 28
DTEX3 6.7 6.57 6.73 6.66 971100
EALT4 10.87 10.05 10.87 10.05 200
ECOO11 66.55 66.5 67.06 66.7 7730
ECOR3 8.24 7.97 8.25 8.14 1202400
EDGA11B 50.32 50.28 51.49 51.3 1342
EGIE3 35.02 34.41 35.04 34.85 392200
ELEK4 4.25 4.25 4.25 4.25 500
ELET3 22.5 22.21 22.8 22.5 602400
ELET6 25.78 25.56 26.24 26.13 242400
ELPL3 29.99 29.99 29.99 29.99 100
ELPL4 11.14 10.78 11.29 10.88 898100
EMAE4 8.45 8.45 8.45 8.45 200
EMBR3 15.9 15.84 16.0 16.0 563200
ENBR3 13.37 13.12 13.46 13.4 301100
ENEV3 11.88 11.88 11.88 11.88 500
ENGI11 18.99 18.3 18.99 18.53 111300
ENGI3 3.9 3.9 3.9 3.9 200
EQTL3 54.4 53.82 55.48 54.75 400700
ESTC3 15.8 15.41 15.8 15.45 763000
ESTR4 0.63 0.62 0.63 0.62 5400
ETER3 1.32 1.31 1.43 1.4 896900
EUCA4 2.85 2.85 2.85 2.85 2900
EURO11 200.0 186.02 200.0 192.18 20
EVEN3 3.7 3.63 3.79 3.73 290000
EZTC3 15.61 15.32 15.97 15.85 146100
FAED11B 196.99 196.46 198.47 198.47 398
FAMB11B 5298.0 5298.0 5298.0 5298.0 5
FCFL11B 1769.99 1751.0 1770.0 1751.0 18
FESA4 7.75 7.54 7.75 7.55 100900
FEXC11B 104.99 104.99 108.99 107.25 5459
FFCI11 1.67 1.64 1.67 1.66 24533
FHER3 2.05 2.0 2.07 2.04 18800
FIBR3 31.89 31.51 32.5 32.11 611400
FIGS11 66.6 65.0 66.6 65.43 745
FIIB11 320.0 315.0 340.0 340.0 112
FIIP11B 169.49 168.99 169.5 169.0 137
FIND11 61.0 61.0 61.0 61.0 5000
FIXX11 89.94 89.94 89.94 89.94 16
FJTA4 1.75 1.75 1.87 1.83 15200
FLMA11 2.21 2.2 2.22 2.22 7783
FLRP11B 841.01 841.0 841.21 841.0 108
FLRY3 35.7 34.4 35.7 34.7 285500
FNAM11 0.05 0.05 0.05 0.05 1000000
FNOR11 0.14 0.12 0.17 0.16 94512000
FOFT11 770.0 770.0 770.0 770.0 1
FRAS3 4.4 4.29 4.47 4.3 22700
FRIO3 1.72 1.72 1.75 1.75 5200
FSPE11 0.09 0.09 0.13 0.13 21000
FSRF11 0.1 0.1 0.1 0.1 24000
FSTU11 0.15 0.15 0.16 0.16 2000
GFSA3 1.86 1.84 1.88 1.88 2580800
GGBR3 7.84 7.57 7.84 7.67 215700
GGBR4 10.7 10.54 10.97 10.84 3194600
GOAU3 4.21 4.2 4.28 4.26 77100
GOAU4 4.77 4.68 4.85 4.74 6472500
GOLL4 4.55 4.46 4.6 4.51 999500
GOVE11 24.4 24.36 24.49 24.47 310
GPIV33 7.02 7.02 7.02 7.02 200
GRLV11 900.0 900.0 900.0 900.0 30
GRND3 17.58 17.46 17.93 17.61 123800
GSHP3 3.98 3.98 4.07 4.07 3600
GUAR3 60.5 57.52 60.5 57.52 1700
GUAR4 58.49 57.49 58.5 57.49 2100
GWIR11 255.0 255.0 255.0 255.0 2
HAGA4 2.95 2.69 2.95 2.69 6700
HBOR3 1.55 1.51 1.6 1.59 423700
HETA4 4.18 4.18 4.18 4.18 200
HGBS11 2029.97 2018.0 2029.99 2024.0 91
HGCR11 1005.0 985.0 1005.0 1005.0 265
HGJH11 1192.5 1150.0 1200.0 1200.0 111
HGLG11 1100.0 1083.0 1100.0 1100.0 183
HGRE11 1250.03 1241.0 1250.03 1246.0 347
HGTX3 15.2 15.15 15.8 15.8 262000
HTMX11B 118.5 116.05 120.0 118.5 1310
HYPE3 26.05 25.8 26.17 26.17 1061500
IDNT3 4.39 4.26 4.39 4.29 1700
IDVL4 1.39 1.39 1.39 1.39 4800
IGBR3 1.38 1.25 1.46 1.33 89300
IGTA3 26.43 26.25 26.67 26.62 194000
INEP3 3.6 3.6 3.85 3.85 500
INEP4 2.87 2.83 2.87 2.83 400
ISUS11 23.71 23.71 23.88 23.75 380
ITEC3 27.75 27.75 27.75 27.75 100
ITSA3 8.03 7.95 8.09 8.06 20400
ITSA4 8.2 8.16 8.25 8.21 4144900
ITUB3 29.55 29.36 29.89 29.67 42500
ITUB4 33.45 33.31 33.74 33.53 2070100
IVVB11 76.41 76.0 78.65 78.64 290
JBDU3 2.05 2.05 2.05 2.05 200
JBDU4 1.75 1.75 1.75 1.75 2200
JBSS3 11.35 11.18 11.46 11.3 1541000
JHSF3 1.42 1.4 1.44 1.44 82100
JRDM11B 73.2 73.2 73.2 73.2 20
JSLG3 9.11 9.08 9.11 9.08 6700
JSRE11 97.99 97.0 98.0 98.0 3786
KEPL3 18.18 17.4 18.18 17.4 16500
KLBN11 17.54 17.07 17.67 17.1 841000
KLBN3 6.13 5.91 6.2 5.93 9700
KLBN4 2.85 2.76 2.85 2.79 80600
KNCR11 113.45 112.51 113.6 113.22 13914
KNIP11 111.5 111.5 111.5 111.5 50
KNRI11 143.51 140.01 145.42 141.31 12480
KROT3 13.2 13.08 13.3 13.3 2251300
LAME3 12.47 12.27 12.58 12.52 190100
LAME4 16.85 16.56 16.85 16.63 1251900
LCAM3 5.86 5.86 5.99 5.99 225200
LEVE3 20.79 20.49 20.79 20.61 29500
LFFE3 0.97 0.97 1.1 1.1 1700
LFFE4 1.38 1.38 1.38 1.38 100
LIGT3 17.1 16.99 17.56 17.56 587800
LINX3 17.31 17.08 17.66 17.54 158400
LLIS3 3.16 3.16 3.32 3.32 3400
LOGN3 2.59 2.59 2.68 2.6 59800
LPSB3 3.85 3.69 3.85 3.69 58300
LREN3 22.9 22.81 23.19 23.14 554600
LUPA3 3.87 3.87 4.14 4.05 33000
MAGG3 23.7 23.55 23.75 23.75 2900
MAXR11B 1580.0 1580.0 1580.0 1580.0 2
MBRF11 867.98 867.98 869.9 869.9 17
MDIA3 115.17 111.78 115.17 111.78 35900
MEAL3 4.98 4.84 4.98 4.85 99900
MFII11 105.99 103.7 105.99 104.1 2680
MGLU3 105.03 101.71 105.46 101.71 62600
MILS3 3.94 3.88 4.1 3.93 294300
MLFT4 7.39 7.07 7.43 7.4 900
MMXM11 1.66 1.66 1.85 1.85 4800
MMXM3 5.58 5.58 5.92 5.83 6400
MNDL3 10.8 10.8 10.8 10.8 900
MPLU3 33.42 33.0 34.35 33.6 146800
MRFG3 6.52 6.4 6.59 6.4 615100
MRVE3 10.83 10.83 11.18 11.05 984100
MULT3 58.81 58.41 59.2 59.2 172400
MXRF11 89.11 87.53 90.53 90.15 1228
MYPK11 0.42 0.42 0.42 0.42 100
MYPK3 11.7 11.55 11.8 11.61 149600
NATU3 22.91 22.28 22.98 22.47 551700
NSLU11B 195.99 194.0 198.5 197.35 136
ODPV3 12.62 12.39 12.79 12.39 424400
OFSA3 28.0 28.0 28.0 28.0 200
OGSA3 2.2 2.14 2.2 2.14 37900
OGXP3 4.39 4.33 4.45 4.35 10600
OIBR3 2.66 2.61 2.69 2.64 368000
OIBR4 2.27 2.23 2.31 2.31 1627300
ONEF11 930.0 930.0 930.0 930.0 1
PARC3 13.51 13.08 13.67 13.35 155900
PCAR4 54.9 54.1 55.05 54.52 160300
PDGR11 0.02 0.02 0.03 0.03 2877100
PDGR3 1.2 1.2 1.55 1.52 5729600
PEAB4 34.0 34.0 35.0 35.0 300
PETR3 16.7 16.52 16.79 16.53 1781200
PETR4 14.64 14.6 14.7 14.66 7525700
PFRM3 8.33 8.07 8.34 8.22 17400
PIBB11 102.99 101.91 102.99 101.99 108960
PINE4 3.99 3.79 3.99 3.79 43500
PLAS3 4.29 4.29 4.29 4.29 200
PLRI11 106.0 106.0 106.0 106.0 10
PMAM3 1.5 1.49 1.52 1.51 390100
PNVL3 660.0 645.0 660.0 645.0 700
POMO3 2.18 2.12 2.19 2.12 79500
POMO4 2.74 2.71 2.78 2.78 760600
PORD11 105.49 105.49 105.49 105.49 11
POSI3 2.79 2.72 2.83 2.83 107500
PQDP11 1971.0 1960.03 1995.0 1995.0 54
PRBC4 10.98 10.7 10.98 10.79 1400
PRIO3 21.7 21.6 23.39 23.3 27300
PRML3 7.58 7.57 7.9 7.61 179400
PRSV11 480.0 480.0 480.0 480.0 1
PSSA3 26.89 26.66 27.0 26.91 53900
PTBL3 2.07 2.02 2.07 2.05 206000
PTNT4 1.85 1.85 1.85 1.85 100
QGEP3 5.27 5.21 5.47 5.47 154700
QUAL3 19.13 18.72 19.18 18.82 512100
RADL3 60.62 59.81 61.08 60.63 309900
RANI3 2.37 2.37 2.4 2.4 2800
RAPT4 3.43 3.43 3.52 3.5 1488600
RBBV11 72.0 69.45 72.29 70.15 5676
RBGS11 34.66 33.0 34.66 33.02 280
RBRD11 64.99 62.5 64.99 64.99 847
RBVO11 88.2 88.2 94.0 91.01 481
RCSL4 1.11 1.07 1.14 1.08 50000
RDES11 58.96 58.96 58.96 58.96 57
RDNI3 5.32 5.32 5.58 5.58 2200
REDE3 2.35 2.33 2.35 2.33 400
RENT3 33.9 33.74 35.1 34.94 552700
RLOG3 4.9 4.89 5.1 5.1 98500
RNDP11 1020.0 1019.0 1021.0 1019.0 21
RNEW11 6.32 6.27 7.35 6.6 53800
RNEW12 0.7 0.7 0.9 0.75 7400
RNGO11 79.31 79.1 81.0 80.0 1288
ROMI3 2.6 2.54 2.66 2.65 42700
RSID3 2.74 2.71 2.96 2.9 199800
RUMO3 6.14 6.06 6.17 6.11 2054000
SAAG11 118.07 118.06 119.0 118.5 3134
SANB11 29.53 29.24 29.95 29.5 525900
SANB3 18.85 18.61 19.59 18.61 4200
SANB4 10.36 10.14 10.41 10.41 25100
SAPR4 10.44 10.26 10.58 10.54 1131700
SBSP3 28.45 27.27 28.66 28.37 536100
SCAR3 25.0 24.76 25.54 25.15 11400
SDIL11 80.0 79.8 80.4 79.8 1804
SEER3 18.45 18.16 18.59 18.5 87500
SGAS4 2.6 2.55 2.6 2.56 700
SGPS3 4.17 4.13 4.27 4.27 25500
SHOW3 5.75 5.7 5.9 5.88 12300
SHPH11 815.0 780.0 839.0 780.0 121
SHUL4 4.11 4.11 4.26 4.25 23800
SLCE3 14.47 14.47 14.78 14.66 101500
SLED4 3.67 3.47 3.67 3.55 181200
SMAL11 54.5 53.61 54.5 54.0 2090
SMLE3 44.44 44.0 45.04 44.39 95000
SMTO3 19.5 19.03 19.5 19.23 334600
SNSL3 13.94 13.9 14.0 13.98 3700
SPRI3 11.99 11.9 12.0 11.9 400
SPTW11 60.26 58.36 60.26 59.15 1968
SPXI11 74.67 74.67 74.67 74.67 7500
SSBR3 17.4 16.75 17.5 17.0 19900
STBP3 2.35 2.31 2.4 2.35 52100
SULA11 17.83 17.5 18.1 17.5 182000
SUZB5 14.18 13.82 14.18 13.93 2006800
TAEE11 20.71 20.6 21.4 21.4 572300
TBOF11 63.46 63.0 63.46 63.4 961
TCNO3 1.46 1.46 1.58 1.47 300
TCNO4 1.48 1.39 1.48 1.45 4100
TCSA3 2.16 2.16 2.28 2.24 848700
TECN3 3.53 3.53 3.63 3.63 7700
TEKA4 7.5 7.5 7.9 7.9 600
TELB4 22.02 22.02 22.94 22.94 900
TESA3 10.25 10.1 10.25 10.1 4100
TGMA3 7.7 7.46 7.91 7.47 65100
THRA11B 78.7 78.7 79.0 79.0 128
TIET11 14.2 13.85 14.2 14.0 153400
TIET3 2.99 2.99 3.07 3.07 400
TIET4 2.71 2.69 2.71 2.69 3800
TIMP3 7.74 7.66 7.83 7.73 624300
TOTS3 24.0 23.2 24.07 23.59 174400
TOYB3 2.8 2.8 2.8 2.8 2500
TOYB4 3.17 3.0 3.17 3.0 700
TPIS3 3.19 3.14 3.23 3.18 95900
TRIS3 2.8 2.5 2.8 2.5 65500
TRPL4 64.82 64.3 65.08 64.53 92900
TRXL11 58.49 56.5 58.49 58.49 750
TUPY3 12.01 11.9 12.44 12.44 156100
TXRX4 2.3 2.3 2.3 2.3 100
UCAS3 2.55 2.54 2.67 2.63 162800
UGPA3 67.43 66.68 68.28 67.9 383800
UNIP6 6.84 6.78 6.88 6.83 1900
USIM3 8.1 8.03 8.48 8.2 4300
USIM5 4.1 4.05 4.15 4.08 4123200
VALE3 25.28 25.05 25.49 25.06 1118500
VALE5 22.93 22.77 23.12 22.85 3943800
VIVR3 1.56 1.56 1.61 1.56 2900
VIVT3 35.61 34.85 35.73 35.37 38300
VIVT4 43.6 42.99 44.14 44.08 591600
VLID3 24.7 24.18 24.7 24.18 125400
VRTA11 123.0 121.4 123.51 122.38 737
VULC3 2.41 2.41 2.41 2.41 5700
VVAR11 10.74 10.66 11.37 11.31 793100
VVAR3 3.75 3.64 3.8 3.8 36000
VVAR4 3.55 3.55 3.8 3.8 47500
WEGE3 15.4 14.91 15.41 15.1 820400
WHRL3 3.02 3.01 3.02 3.01 600
WHRL4 3.15 3.15 3.15 3.15 2100
WPLZ11B 75.99 75.9 76.0 75.9 202
XBOV11 59.28 59.25 59.57 59.37 13150
XPCM11 89.08 87.2 89.08 87.2 959
XPGA11 97.01 97.01 98.8 98.8 2491
XPOM11 99.05 99.05 100.5 100.5 26
XTED11 21.29 21.27 21.29 21.28 882
AALR3 14.74 14.57 15.06 14.9 357200
AAPL34 37.3 37.3 37.7 37.4 8600
ABCB2 3.0 3.0 3.5 3.28 1500
ABCB4 13.41 13.4 13.88 13.88 267500
ABCP11 11.99 11.8 12.0 12.0 60
ABEV3 16.5 16.44 16.67 16.64 9535500
ADHM3 0.79 0.75 0.8 0.8 55500
AEFI11 134.86 134.86 137.49 136.0 285
AELP3 13.0 13.0 13.0 13.0 200
